system:index,meanCO,time,.geo
20190729T063421_20190804T055443,0.03476815310178665,1564383355000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190731T073740_20190806T085133,0.037067565524671386,1564559953000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190801T071834_20190807T063655,0.03831988120945513,1564645209000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190802T065928_20190808T061730,0.03917536806444391,1564730463000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190803T064023_20190809T055810,0.042014122009277344,1564815717000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190804T062117_20190810T054848,0.03924959061608833,1564900972000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190804T080247_20190810T072851,0.03797355946519237,1564907061000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190805T074341_20190811T070931,0.0412772066235574,1564992315000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190807T070529_20190813T063055,0.03583953747531311,1565162823000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190808T064623_20190814T061142,0.03421109956634009,1565248076000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190809T062716_20190815T055224,0.03616827304166628,1565333331000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190810T074940_20190816T071307,0.03229258861584024,1565424674000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190811T073033_20190817T065352,0.03115449797286167,1565509927000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190812T071127_20190818T063437,0.03234656894628349,1565595181000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190813T065221_20190819T061521,0.03487554177000463,1565680435000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190814T063314_20190820T055613,0.038119592220389284,1565765689000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190815T061408_20190821T053701,0.03502188427726673,1565850942000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190815T075537_20190821T071704,0.03397035494404978,1565857031000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190816T073631_20190822T065750,0.03385292260327522,1565942285000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190817T071724_20190823T063833,0.03480384641985259,1566027538000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190818T065817_20190824T061921,0.03463457672384696,1566112791000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190819T063910_20190825T060138,0.03643942760705124,1566198044000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190820T062003_20190826T054050,0.03541215613119721,1566283298000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190820T080133_20190826T072212,0.03522574153141178,1566289387000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190821T074226_20190827T070140,0.037951320650976096,1566374641000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190822T072319_20190828T064944,0.035283188314431786,1566459893000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190823T070412_20190829T063033,0.037178093802892775,1566545147000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190825T062558_20190831T055202,0.03660030803505565,1566715651000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190826T074820_20190901T071250,0.036984469207349734,1566806994000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190827T072913_20190902T065336,0.040218082334253086,1566892247000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190828T071006_20190903T063421,0.03966535354458702,1566977499000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190829T065058_20190904T061505,0.04340299002554055,1567062753000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190830T063151_20190905T055552,0.045240370777793616,1567148005000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190831T061243_20190906T053639,0.04533934801117366,1567233258000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190831T075413_20190906T071644,0.042879563057019336,1567239347000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190901T073505_20190907T065727,0.04688629676970514,1567324600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190902T071558_20190908T063812,0.0444148573290981,1567409852000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190903T065650_20190909T061855,0.04737642973830608,1567495105000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190904T063743_20190910T055940,0.04630228132009506,1567580356000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190905T061835_20190911T054026,0.045077062273568495,1567665610000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190905T080004_20190911T072029,0.043735459723802377,1567671699000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906T074057_20190912T070115,0.0447006334283955,1567756950000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190907T072149_20190913T064318,0.03992938838418863,1567842204000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190908T070241_20190914T062241,0.03911055535940504,1567927455000,"{""type"":""MultiPoint"",""coordinates"":[]}"
